"case_name","location","occurance_date","fatalities","injured","total_victims","location_type","age_of_shooter","prior_signs_mental_health_issues","weapons_obtained_legally","race","gender","latitude","longitude","type","state","year"
"Wedgwood Baptist Church shooting","Fort Worth, Texas","1999-09-15",8,7,15,"Religious",47,"yes","yes","White","Both",32.664511,-97.384246,"Mass"," Texas",1999
"Atlanta day trading spree killings","Atlanta, Georgia","1999-07-29",9,13,22,"Workplace",44,"yes","yes","White","Both",33.850116,-84.377839,"Mass"," Georgia",1999
"Columbine High School massacre","Littleton, Colorado","1999-04-20",13,24,37,"School",17,"yes","no","White","Both",39.604034,-105.074103,"Mass"," Colorado",1999
"Fort Lauderdale revenge shooting","Fort Lauderdale, Florida","1996-02-09",6,1,7,"Workplace",41,"yes","yes","Black","Both",26.119269,-80.104119,"Spree"," Florida",1996
"Thurston High School shooting","Springfield, Oregon","1998-05-21",4,25,29,"School",15,"yes","no","White","Both",44.0462362,-123.0220289,"Mass"," Oregon",1998
"Westside Middle School killings","Jonesboro, Arkansas","1998-03-24",5,10,15,"School",11,"no","no","White","Both",35.8209895,-90.6682606,"Mass"," Arkansas",1998
"Caltrans maintenance yard shooting","Orange, California","1997-12-18",5,2,7,"Workplace",41,"no","yes","Latino","Both",33.7877944,-117.8531119,"Spree"," California",1997
"Trestle Trail bridge shooting","Menasha, Wisconsin","2015-06-11",3,1,4,"Other",27,"yes","yes","Latino","Male",44.204124,-88.467541,"Mass"," Wisconsin",2015
"Sandy Hook Elementary massacre","Newtown, Connecticut","2012-12-14",27,2,29,"School",20,"yes","no","White","Both",41.4123225,-73.31142358,"Mass"," Connecticut",2012
"Pinewood Village Apartment shooting","Federal Way, Washington","2013-04-21",5,0,5,"Other",27,"no","yes","Black","Both",47.3129607,-122.3393665,"Mass"," Washington",2013
"Washington Navy Yard shooting","Washington, D.C.","2013-09-16",12,8,20,"Military",34,"yes","yes","Black","Both",38.874981,-76.99453,"Mass"," D.C.",2013
"Santa Monica rampage","Santa Monica, California","2013-06-07",6,3,9,"Other",23,"yes","yes","White","Both",34.008617,-118.494754,"Mass"," California",2013
"Sikh temple shooting","Oak Creek, Wisconsin","2012-08-05",7,3,10,"Religious",40,"yes","yes","White","Both",42.8858503,-87.8631362,"Mass"," Wisconsin",2012
"Aurora theater shooting","Aurora, Colorado","2012-07-20",12,70,82,"Other",24,"yes","yes","White","Both",39.706038,-104.820594,"Spree"," Colorado",2012
"Seal Beach shooting","Seal Beach, California","2011-10-12",8,1,9,"Other",42,"yes","yes","White","Both",33.741176,-118.1046356,"Mass"," California",2011
"Coffee shop police killings","Parkland, Washington","2009-11-29",4,1,5,"Other",37,"yes","no","Black","Both",47.15277,-122.467308,"Mass"," Washington",2009
"IHOP shooting","Carson City, Nevada","2011-09-06",5,7,12,"Other",32,"yes","yes","Latino","Both",39.1637984,-119.7674034,"Mass"," Nevada",2011
"Tucson shooting","Tucson, Arizona","2011-01-08",6,13,19,"Other",22,"yes","yes","White","Both",32.335941,-110.975132,"Mass"," Arizona",2011
"Hartford Beer Distributor shooting","Manchester, Connecticut","2010-08-03",9,2,11,"Workplace",34,"no","yes","Black","Both",41.798764,-72.570068,"Mass"," Connecticut",2010
"Fort Hood massacre","Fort Hood, Texas","2009-11-05",13,31,44,"Military",39,"tbd","yes","Other","Both",31.135557,-97.783664,"Mass"," Texas",2009
"Trolley Square shooting","Salt Lake City, Utah","2007-02-12",6,4,10,"Other",18,"tbd","tbd","White","Both",40.7606467,-111.89109,"Mass"," Utah",2007
"Northern Illinois University shooting","DeKalb, Illinois","2008-02-14",5,21,26,"School",27,"yes","yes","White","Both",41.9294736,-88.7503647,"Mass"," Illinois",2008
"Virginia Tech massacre","Blacksburg, Virginia","2007-04-16",32,23,55,"School",23,"yes","yes","Asian","Both",37.2295733,-80.4139393,"Mass"," Virginia",2007
"Kirkwood City Council shooting","Kirkwood, Missouri","2008-02-07",6,2,8,"Other",52,"no","no","Black","Both",38.580093,-90.40691,"Mass"," Missouri",2008
"Westroads Mall shooting","Omaha, Nebraska","2007-12-05",9,4,13,"Other",19,"yes","no","White","Both",41.265719,-96.067495,"Spree"," Nebraska",2007
"Crandon shooting","Crandon, Wisconsin","2007-10-07",6,1,7,"Other",20,"tbd","yes","White","Both",45.5719072,-88.9028922,"Mass"," Wisconsin",2007
"Navistar shooting","Melrose Park, Illinois","2001-02-05",5,4,9,"Workplace",66,"no","yes","Black","Both",41.908163,-87.879908,"Mass"," Illinois",2001
"Connecticut Lottery shooting","Newington, Connecticut","1998-03-06",5,1,6,"Workplace",35,"yes","yes","White","Both",41.6856325,-72.72983827,"Mass"," Connecticut",1998
"Luigi's shooting","Fayetteville, North Carolina","1993-08-06",4,8,12,"Other",22,"no","yes","White","Both",35.0529931,-78.8787058,"Mass"," North Carolina",1993
"Air Force base shooting","Fairchild Air Force Base, Washington","1994-06-20",5,23,28,"Military",20,"yes","yes","White","Both",47.61864486,-117.6483587,"Mass"," Washington",1994
"Long Island Rail Road massacre","Garden City, New York","1993-12-07",6,19,25,"Other",35,"yes","yes","Black","Both",40.7267682,-73.6342955,"Spree"," New York",1993
"101 California Street shootings","San Francisco, California","1993-07-01",9,6,15,"Other",55,"no","no","White","Both",37.792968,-122.397973,"Mass"," California",1993
"Watkins Glen killings","Watkins Glen, New York","1992-10-15",5,0,5,"Other",50,"yes","yes","White","Both",42.3810555,-76.8705777,"Mass"," New York",1992
"GMAC massacre","Jacksonville, Florida","1990-06-18",10,4,14,"Other",42,"no","yes","Black","Both",30.3321838,-81.655651,"Mass"," Florida",1990
"Lindhurst High School shooting","Olivehurst, California","1992-05-01",4,10,14,"School",20,"no","yes","White","Both",39.07868761,-121.5475762,"Mass"," California",1992
"Royal Oak postal shootings","Royal Oak, Michigan","1991-11-14",5,5,10,"Workplace",31,"yes","yes","White","Both",42.4894801,-83.1446485,"Mass"," Michigan",1991
"Luby's massacre","Killeen, Texas","1991-10-16",24,20,44,"Other",35,"no","yes","White","Both",31.1171194,-97.7277959,"Mass"," Texas",1991
"Standard Gravure shooting","Louisville, Kentucky","1989-09-14",9,12,21,"Workplace",47,"yes","yes","White","Both",38.2542376,-85.759407,"Mass"," Kentucky",1989
"Kalamazoo shooting spree","Kalamazoo County, Michigan","2016-02-20",6,2,8,"Other",45,"tbd","yes","White","Male",42.236689,-85.674795,"Mass"," Michigan",2016
"San Bernardino mass shooting","San Bernardino, California","2015-12-02",14,21,35,"Workplace",28,"tbd","yes","Other","Both",34.075961,-117.27789,"Mass"," California",2015
